id,text,score,score2,native_speaker
1151,"Dear Local Newspaper, @CAPS1 is my belief that people are spending too much time on computers. Now a days you can do anything on a computer. Such as, talk to friends, play games, even turn off your lights! But, what are they taking away from us? There taking away communication skills and is same uses creating cyber bullying. They also don't let us enjoy the beauty of nature and exercising. One out of every @NUM1 teens spends more time telling people on the computer then face to face. This way of communication prevents children from learning valuable social skills which come with conversing face to face. This makes @CAPS1 more difficult for children to make friends, or even to do well is work intencies. Studies say by each upcoming generation the communication skills are decreasing by @PERCENT2. Eventually, if @CAPS1 continues to drop at this the will have a world that went. This style of communication has ever a new type of bullying. What have we do to people? You waste over @NUM2 days a year sitting in front of your computer. in this wasted time you could be out going for a jog or walking the day. in fact, the percentage of people that have computer is much greeter than the percentage of people that do not only you exercising for yourself. The computer cant do @CAPS1 for you. Sitting in front of a computer does nothing for your body. You physicaly have to get up and move. Its good for your health, got fresh air. Coming to a point about fresh air @PERCENT1 of people who use computers at home are more likely telecom sick than people who doesnt leave you set seem for sometimes. Seeing nature like never before, I dont think. Yes you can look us the green spotted tree from on the internet, but its nothing like in nature and @CAPS1 is real life. Discoveries cannot be made about new species on the computer, a computer cant find @CAPS1 for your find @CAPS1. People are and less about the environment does to computer. They are seeing a picture not the healthy. After writing this I can te the that I was about myself and personal, which scared me the most I realizes I am becoming more and more dependent on computer each day. I dont seeing friends as. I dont go outside as much, and I don't as much. This true for must people whether you realize @CAPS1 or not I personaly ongoing today and out on time computing you will te. Computer are to much lets for from there hold and deo something more with there lives. This well improve our. So this brings to my final that computers are a bad influence on human and we should use less of them and for ourselves by doing not seeing. Thank you for your time.",5,5,1
1186,"Dear @CAPS1: Some people believe computers benefit society. However, others feel they are too consuming. I for me I belive computers help society. Computers teach hand-eye cordination, give people, and even allows computer to chat online with other people. I'd bet your job requires you to use a computer, you probably even have a personal computer which you like to use to chat with friends. I do that all the time and I like it. Another thing I like are sports. One of my favorite sports is softball. In softball you need to have hand-eye cordination, this will help you swing at the ball more accuratly. When a pitcher throws the ball you have to had the bat at the right angle and watch the ball to know when to swing if kids used computers and become good at hand-eye cordination, then possibly more kids would join a local sports team, and possibly even join travel team. Do you like to travel? I do, and are why I learn about places before I go is by looking that particular place up on the internet. About three years ago I went on vacation to @LOCATION1. I wanted to know what it was like there because I had never gone before, so when I looked it up I found out that they had many torist attractions and ""packages"" that let you swim with dolphins, I was very excited to go and when I did, I had a biast, and to think if I didn't look it up I would not have known what kinds of fun things they had! No wonder so many people like computers! One of the biggest reasons why I like computers is because I can chat with my friends online one main attraction online is @CAPS2, everybody, primarily, has one. Some people have one because they like to look at pictures. I have one because I like to chat with my friends. One night I was chatting with a friend we were laughing having a great time, and then she reminded me that we had science homework due the very next day! I thanked her and then completed my work. You see if kids chat online their friends can remind them of important nescesitys such of homework. This could impove grades by @PERCENT1! So you now see why society needs computers and if you have forgotten let me remind you: computers teach you hand-eye cordiantion, let's you learn about faraway places and people, and now allows you to chat online. Just think what would society be like with no computers.",5,4,1
360,"Do Computers @CAPS1 Society? This question might be answered forever. I have an opinion about this and it might not effect everyone in the world but I do hope so. Exercising, great way to stay in shape but is you sit on the @ORGANIZATION1 all day you dont have a chance to stay in shape. So while everyone is fit you eventually will be fat. Whik you sit there playing the some @ORGANIZATION1 game everyon is out side playing at the park, swimming in the pool or fishing at the lake. Sitling on a @ORGANIZATION1 destroys your life bot physically and socially. Lastly, @ORGANIZATION1 will stop you from spending time with friends and family. Also this will stop you from interacting with new friend, and your old ones will find new ones. Lastly, I you sit on the @ORGANIZATION1 @NUM1 you will miss out on the awesome @CAPS2 life you were waiting for since you can remember. So the next time your friend says to go online after school, say you'd rather not because you don't want to get addicted.",3,3,0
1716,"People think that useing computers is a good thing, I think so to because there are alot of other people in this country that speak different languages and the computers can teach them insted of a person that just speaks our language. This for some people is their lives even alot of people use computers for their work. Kids also use the internet not for things such as, facebook, myspace, gmail, and alot of other web pages, I also use the internet but not as much anymore but I used to go on gaming pages like, @NUM1.com or even /cup/coffee but I dont go on those anymore that much because I have xbox live and that is a thing that the internet also comes in and you can talk to your friends. Some of my friends just fo on the computer and dont get any exercise at all but alot of my friends go on it but play alot of sports so there not just getting fat all the time. So people in the world basically have a computer but not everyone in @LOCATION2 of @LOCATION1, I think that our country should write a big pay check to those poor country and so they can get computers and so if they come here they can speak our language, or we ship that of computers to their countrys and so they dont buy any crappy computers. Also when your on a computer you can buy a webcam or it is already placed into your computer and you can talk to your friends or even show them that what you made or something like that. So I think that computers are the best thing that we ever invented or who ever do.",3,4,0
1578,"Dear, @LOCATION1 @ORGANIZATION1 I think that although computers are very helpful to socity. Thire also paseing a problem to it for example people are out there that adicted to computers and will in a dark area for hours just on the computer also its not helping the fact that there obessity in @LOCATION2 I explain that to you but any ways this thing that teaching are youth could very much hurt them. Computer junkies what are they? A computer junkie is someone who woke up in the morning at @TIME1 and and stay on it for a good past @NUM1 hours this is a problem that @PERCENT1 of are @CAPS1 youth have topic @MONTH1 be not be big to but it is a problem must know my brothers addict to his laptop he spends hours in his bedroom watching anime japanise cartoons and not eating anything the whole day. Never leaves his room and my mom get so tired of trying to drag him out of his room she just quit and it gets annoying after a while a little computer isnt bad but alot is. Obeasity is a growing problem in are nation and computers arent helping infact computers are making matters worse by having items being shiped to them of in extent of the obesse person getting up used and leaving of they could lose a little wieght and now you can order offline and have it deliverd to your door @CAPS2 @CAPS3 market such as @CAPS4 @CAPS5 domino @CAPS4 and @LOCATION3 jade have been a part of this issue stop online @CAPS3 ordering. The computer is a great way to learn about things but it also a great way to become a junkie and fat:",4,5,0
945,"Dear Newspaper, In my opinon I think computers do have a positive affect on people. They can learn about far away places. They let people talk online. It can even help you find a job. This is why I think computers are very positive. Certainly, people can learn about far away places on the computer. Say, someone wanted to take a trip to @LOCATION1 they can look it up, learn the launage. They can by tickets. They could also find interesting things to see in that country. These reasons are why I think a computer is a positive technology. My next reason I think a computer is positive toward people is that people can comuicate online. This can help keep families in touch. It can help you find and talk to old friends (facebook). You can even make new friends to talk to. These are other examples why I think computers are positive. My last reason I think computer have a positive affect on people is that it can help you with jobs. It can help you find a job. It can also help you with your job. Lastly, it can have you have a higher position at your job. These are my reasons I think computers are important and positive to people. For all the reasons above are reasons I think computers are an awesome =) and positive technology, I mean just look at all the reasons. They let people talk online. They can also teach you about far away places. And even help you with your job. This is why I think computers have a positive affect on people.",4,4,0
1783,"Dear @CAPS1, @CAPS2 several reasons on way I that advances in technology are harmful to our socitey is because it opens doors to strangers on the outside world. Its also takes you away from family and friends. Lastly it also takes you away from enjoying life outside of the internet. One of my severl reasons on way I feel advanced technology is harmful to our socitey is because it opens doors to strangers @CAPS2 teens, adult's and etc. The probem with this is that you never really know whos on the other side of that door, that chat room people can miss guide you into thinking there someone who there not. @CAPS2 example theres a show called dateline. This show is about how young teens put there selev's online and grown or young men click on a picture of you and that opens up a chat line or as I say opening a door, you dont know who's on the other side of that door. So these men online makes these teens trust them and make them feel safe if they are a friend you ""hey can I come over sometime?"" you this young teen thinking thats your friend says yea sure. Dont forget you dont see his picture so he come's over and most of three men are looking @CAPS2 a quick fix. If you know what I mean. This is what go's on during dateline t.v show just imarge how many other kids or teens are out there doing the same thing the difference is they dont get caught. Secondly on why is harmful to our socitey is because it takes you away from your family and friends. It takes you away from your kid's family because that will start to fill as if you love that computer more then them. It take you away friends because they might say hey let's go out to the mall or @CAPS2 a drink youll probably say check up on somethings online. This will one move slowly away from you, all over a computer you will start to lose the people most important to you. My last reason on why you can harm society with teconogly is because it takes you away from living your own life and doing thing's you wanna do like online is a bunch of stuff that everybody else say's is cool. Do what you think and feel is cool. @CAPS2 example if someone posted something saying @NUM1 guys lodon is so cool you gotta go there but youve always wanted to go to @LOCATION1, @CAPS3 thing is that you do get to have enough air outside like your skin will get pail and icky and this is why I feel that way. In covlsion all though some people might think that advanced tencogly is good well cleary there not because they open doors to danger, take you away from friends and family. Also it takes you away from what life has to offer.",4,4,0
1760,"I think we can all agree that computer usage is a very controversal issue. In my opinion, I believe that computers have a negative effect on people. For instance, it's not safe and children can get into all sorts of things on the internet. Also, people spend too much time in front the computer now a days, @CAPS1, its a major distraction and also a negetive effect on kids. school work. It's now or never! Do we dicide that computers have a negetive effect? You decide! Isn't every parents biggest concern the safety of their children? When on the internet, kids are capable of accessing anything and everything. Sometimes kids don't even look for bad things, they just pop up. Would you want your child veiwing things that you have no control over? Also, websites like @CAPS2.com one one of the greatest concerns when it comes to internet safety. Although you are supposed to be at least @NUM1 to have a @CAPS2, most kids lie about their age. Did you know that @NUM2 out of @NUM3 @CAPS2 users lie about their age? And it's not always a @NUM4 year old saying they are @NUM1, it could be a @NUM6 year old saying they're @NUM7! Not only do people lie about their age, they lie about who they are. Is this the kind of internet exposer you want for your children? Put a stop to this right now! More than @PERCENT1 of @CAPS3 are overweight and unhealthy. This is another negetive effect computers have on people. It's a gorgeous @DATE1 day. Bright blue skies, cotton candy cloulds, the sun is shining, and there's a nice warm breece. Perfect day to go out and get active, right? Wrong! None people would @CAPS5 be inside on the computer. Instead of going for a walk, people would @CAPS5 spend hours on facebook. This is a serious concern to our health. People don't exercise enough as it is, and then when you add computers, people will never get active! Instead of playing video games onlin, people need to be reminded that turning off the computer and playing a fun beighborhood game of baseball is just as fun and much more beneficial. This is just one step @CAPS3 need to take to get a healthier lifestyle. Wouldn't you agree? Did you know that kids that spend more time on computer are more likely to do poorly in school? Surely, if nothing else will convince you of the negetive effects of a computer this will @CAPS5 than coming home and doing homework, more time is spent in front of the computer. As a student, I will admit that the computer is a very tempting distraction and can easily pull a student away from their studies. You can't expect a child to make the right decision and tell their they have to go because they need to study. So you do! Take action now, or your child will definately suffer. The time has come to decide. Do you believe Computers have a negative effect on people? It's clear that the computer is not safe. Not to mention, too much time is spent on the computer instead of being active. Most importantly, computers will negetively affect children's grades. Don't wait another minute! Let's agree and do something about this!",6,6,1
813,"Dear local newspaper, @CAPS1 you know any child or teen between the age of eight and seventeen who doesn't live to go on the computer? Well myspace, facebook and aim is like a online hangout. Kids every where log on and don't log out unless the parent of the child makes them. I firmly belive that computers have major effect on people, my three reasons are people don't have the exersise, they dont interact with others, kids are smocky they will sneak on if doing research for if wasnt . Online websites and games are like hipnotysing the people and making them stay on for hours. Most parents belive that having their child on a computer doing research for an hour is good; however kids are and would sneak to pay online going or go to a website they were not allowed to go on and wasnt on before. Sometimes the best thing to @CAPS1 is get some fresh air and interact with others. Buth with websites that make people stay conect for more than two hours they dont get fresh air and they dont interact with others . Most times people forgot and dont know what something is except for how a computer because they play on it so much. People grow up fast when you think about it, and people start to eat, drink, sometimes sleep at the computer. People stay at the computer and eat their, they wont get enought exercise, they will start to get fat and soon an only stay at the computers because they didnt exercise burn the fat off. How you see how computers have a major effect on people by not interacting with others, not having enough, and kids wife sneaky and will go on other website, they wer not allowed to go on and if thier parents wernt home.",4,4,0
1725,"Dear @CAPS1 @CAPS2, @CAPS3 a world where nobody has any hand-eye coordination @CAPS6 they try to cath a ball it slips away. There are no friendships or communication with other countries. Is this really what you want? Computers do have positive effects on people. For example, they help with hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Computers have a positive effect on people and the society. First, hand eye-coordination is not something that all people have. However, you can make it better by using computers and that is a fact. Computers @CAPS4 said that computer help @PERCENT1 of @CAPS5 with their hand-eye coordination. For example, my mom used to have horrible hand-eye coordination but now that she uses a computer and it is much better. Oprah said,  @CAPS6 I was young I couldnt catch a ball but now that Im older and using computers Im the best. @NUM1 out @NUM2 people agree that computer help hand-eye coordination. Next, computers help other people learn about faraway places. For example, if we didnt have computers people wouldnt travel to @LOCATION1. @PERCENT1 of @CAPS5 agree that they would never travel if it werent for computers it is a fact that people use the internet to learn about other countries for educational purposes. Www.exploretheworld.org wrote that @PERCENT2 of the people who use the website are students. Computers help other people learn about far away places. Finally, computers allow people to talk online. @PERCENT3 of people on facebook have at least one friend who live out of this country. It is a fact that countries are better allies @CAPS6 their people get along.Www.internationalfriendships.com wrote that they have over @NUM3 users who talk with people from other countries for example, my friends mother was born in @LOCATION2 and she talks online with many of her friends. Dr @PERSON1 said,@CAPS8 friendships are the best kind because you learn about other cultures. Computers are a wonderful way to talk to other people. Now @CAPS3 a world where every country got along because of online friendships. Where adults could play a game of baseball because they got their hand eye-coordination back. Where students could learn about distant places they didnt know existed. Does't that sound great? Computers teach hand-eye coordination, give people the ability to learn about faraway people and places and allow people to talk online. So @CAPS1 @CAPS2 computers do benefit the society.",5,4,1
