id,text,score,score2
4358,"We all have our favorite books and some we like others @MONTH1 not. Have you ever walked into the library in hope of finding your all time favorite book that you nearly forgot about, or maby a book a friend recomended to you? What happens when you get there and the book has been censored? Most books we see in our public or school libraries are are bookes that are well liked or are favorites of many. Books open a new world to everyone and should not be taken away.     To begin, I will explain some problems in our libraries. Some people believe the books and magazines in our libraries should be censored and removed from the shelves because it could be offensive to some people because of racial shurs or comments. This is a big problem because most books written years ago took place long ago like @PERSON1 for example, @MONTH1 be considered offensive but, this book gives a glimpse of what was going on in this time period and without it some people would never know what happened and we couldn't learn from those mistakes and make better choices in the future.     Some books that are censored have great educational value. Everyone has there prefrence on books and what some say should be taken away because of what they think others @MONTH1 not. If all books that are bad or offencive were taken off the shelves then eventually we would have no books left. We have the right to read any book out there no matter how horrendus it @MONTH1 be, besides you can go to church and read worse things that are being censored out of our libraries. If we couldn't read some books like many classics it would take educational value away from us all. Think about all the books we have read and learned from that have the possibility of being censored. Before someone gets into a book they should read the informational part on the back to see what it is about before they start to read something not suited for them.     I believe that no book should be censored and should have the freedom to sit on a shelf and be read by anyone who wants to read it. Being censored is not protecting anyone it only makes things worse. If someone feels offended then they shouldn't read it, it's their choice to pick it up or not. Hopefully I have persuaded you that no book should be censored and everyone has the right to read what they want",4,4
3292,"Katherine Paterson once said, 'All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf-that work I abhor-then so does everyone else. And then we have no books left on the shelf for any of us.' Katherine has a good view on the idea of censorship in libraries. Most books have ideas and topics that are offensive to one person or another. I believe that books that have something offensive in them should not be censored.      An idea that is offensive to one person @MONTH1 not be offensice to the other, and vice versa. Someone who is pro life on the controversial issue of abortion @MONTH1 believe that a book about a teenage girl getting an abortion is offensive and against their beliefs. In truth, the author was just trying to convey how the teenage girl feels and what happens when you go through with something like that. Katherine Paterson said it well when she mentioned that no books would be left on the shelves. If every person felt threatened or was offended by just one book, libraries would have to close because no books would be left. Books on the topic of religion would definitely have to be censored as well because people of differing religions. The @CAPS1 @MONTH1 be offensive to someone of @CAPS2 religion, and because of that the @CAPS1 would not be able to be sold. If that happened there would be an ongoing battle about it. Books should not be censored because an idea that is offensive to one, @MONTH1 not be to another.     If books were censored, literature would have an immediate downfall. When authors write books they are pouring their hearts out to us. If someone thinks their book is offensive and it gets censored, the author of the book would be even more offended. Their life's work could go into one book and just because a group of people do not like it, it gets taken off the shelves. I don't know about you but I would rather read a book with an interesting and maybe controversial topic than a book that seems to go nowhere. If censorship in libraries actually happened, many authors @MONTH1 say forget it and not even right anymore. It is very hard to write a book that pleases everyone. Also, attraction to literature would seize. People are not attracted to books that do not have a quality topic that gets them interested. Literature would have an immediate downfall if books were censored.     If books were censored, the quality of learning would not be the same. Books are tools for learning and taking them away would be harmful to education. Some teenagers including me @MONTH1 find some of the material they read-even in school-to be offensive or have a touchy subject. I do admit that reading books for class is somewhat annoying at times, but it will help us in the future. These books have meaning, which is why they are picked by teachers for students to read. Something offensive like a cuss word is not going to keep someone from finding the meaning of the book. The quality of learning would not be the same if books were censored.     A book can be offensive, yes, but one book is not going to ruin someone's life. An important thing to remember is that by taking a book off a shelf, or not playing music because of a few harmful words is like denying the creativity and compassion of an author or artist. One book that is offensive to one, @MONTH1 not be to another. If books were censored, literature would have an immediate downfall and the quality of learning would not be the same. For all of these reasons, censorship in libraries should not be allowed.",4,4
3545,"I believe that censorship is a very debatable subject for many.But I think that I have a pretty good outlook , and a pretty good view on this. In this essay I'm going to give you my reasoning, and explain , and give some reasons why I think censorship is a good thing , and should maybe be inforced heavier.           Censorship. Should books, music, movies , magazines, etc. be taken off the shelf.. I believe that it is @LOCATION1 , and everyone should have their right to read what they want to,  and what they don't . I believe , that if someone want's to read something vulgur , then let them. If they are an adult , it's their choice. I think as far as the child part of it , that no , children should not be aloud to read things that @MONTH1 be vulgar, sexual , etc.           In keeping children away from these vulgar things , they should have,or keep seperate sections for kids, and adults. I dont think that children should be able to have the access, and maybe they won't know about it, or want it. If their parents think it's okay , and want to let them read it, or watch it, or listen to it,  that before they become an adult they will have to get it for them. I don't believe that children should be candy coated, and blind to the world, I just believe that there is a certain extent to what they need to be limited to.           I obviously think that censorship is a good thing. I think if there was more of it, I think there would be less crime. Kids are learning this , they're watching as young as god knows what, thinking it's okay from the start, and are growing up with that picture ,and message ,of them thinking it's okay  . No I am not saying that all kids learn everything from t.v., etc. ,and yes some @MONTH1 argue that kids dont copy what's on t.v. at all . But I think that t.v. , books, and music affect alot of how children view the world.           As much as I love rap music , and movies such as A.T.L ,rappers such as @ORGANIZATION1, even sometimes when I watch, or listen to those things, it kind of makes me feel like being jaded, and kind of makes me feel like I want to have a bad attitude towards the world, it makes me feel like I wanna live that hard life like that. I think that music , books, what we watch on t.v. , and what we read in the magazines , have a big affect. Such as if we watch the news and there's something depressing, it kind of makes you in a bad mood , or sad or depressed.           The media ,music , t.v., books , magazines, etc., affect our mood, our actions, and even sometimes the way we talk, and dress. I am not saying that dressing that more urban feel is a bad thing , I am just saying when you start doing crime, and drugs because of it, it's a problem. I believe that children should only be censored and not adults, because at the point when u reach adult-hood , your pretty much set in your way's, and have a pretty good look out on what you should be doing, and how you want thing's done. Children are still machuring ,and are like a sponge. Censorship , is a very sensitive , and argumentable/debatable issue, but this is just my view, whats yours ?",4,3
3713,"'All of us can think of a book that we hope none of our children or any other children have taken off the shelf..' said by Katherine Paterson. Books are used to entertain and even teach readers in certain aspects of life. Not exactly all books are offensive but some are. Those who are, should be taken off the shelfs, especially if it is in a school library. Children could take that offensive or violent book into action. Other children could show the book to other peers. And also, children can get very offended. Now should offensive books be taken off the shelfs?         Children nowadays are being motivated alot. Whether it's through television shows, video games, or even music. On the news, there has been reports about children being influenced to have a gun and hang themselves, etc. Books are meant to entertain readers in a good way and not teach them to become a violent person. Some readers who read such things can turn those words into action. Then the student could be in trouble. And people really wouldn't want that.          Children have a tendency of showing off to friends. If a student sees something offensive or violent on a book, there is a big chance that they will show it to their peers. Just because children think it's cool. Having one person read this could be a problem, now imagine having more than just one, a whole clique seeing this. It could end up in a huge problem, not only for the children and their parents, but also for the school. The children learning these new things from the book can cause the children to use everyday and make it popular. The school can have a bad image from the students. Passing on the information can become a conflict, and people certainly do no want that.           School is not only a teaching building, but also a social place. There are cliques in every school. Within the each person there is a different color, religion, style, and personalities. Children can be easily hurt. If books are being offensive, it can just easily hurt anyone reading that book. Once again, books are meant to entertain readers and not to hurt them. So why even have authors write something offensive in their books? Maybe authors feel the need to add interest in the book and suspense, but not all readers would take it easily. Hurting people isn't a fun thing to do, and people certainly do not want to do that.               So why have offensive books in shelfs? These books can cause children to use it in action, to show it off to other peers, and to hurt them as well. Children nowadays have it hard on themselves, why make it harder. Books are meant to entertain readers, why not just do that. So yes, take the offensive books off and there will be no problems.",4,4
3179,"Do you believe that certian materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? No, no i do not. it is one thing to censor a book or movie, but to completley remove it is another. I feel like authors, artists, musicians, and writers should have the freedom to write and say what they want. Regardless of who is reading it.     I feel like censorship is wrong. Authors should be able to feel free to express there thoughts and feelings about a subject or topic in any way they like. some times storys cannot be explained or told the way it needs to be without certain words. Wether those words be good or bad i feel like with out them the book that is being read is not all of what it could of been. in my oppionion censorship takes away from certain values or qualitys the book could of had with the original context still in it. and to me that is not fair. its not fair to the author. and is most certainly not fair to the reader who is reading the book.     I know from my personal expierences with reading books that 'yes' i have read books that have had bad language in them. but just because a book has one or two bad words in it does not mean that it should be completley taken off the shelf. For example the book '@CAPS1' @CAPS2: @PERSON1 was an amazing book. I probably enjoyed that book more than i have any other book that i have ever read in my entire life. But that book would not be nearly as good as it was with it being scensored or taken off the shelf for that matter.     All i am trying to get at is that good books with bad language should not be censored just because of some of the words it has in it. because that is getting away from what the over all message is about. Your almost taking the words out of context when you do this. Do i believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelf if they are found offensive? No i do not. Neither should you",4,4
4675,"No i do not figure that. I say that there is some material for adults, teens and children. The children aren't going to want to read the adult books and the adults aren't going to wanna read the childrerns books the teens aren't going to want to read the childrens books but they @MONTH1 want to read the adult books and thats ok. They will be adults soon they @MONTH1 be interested. there is nothing wrong with that. If the parents do not want there teens or children reading that kindf of material then they should go with them to the libary and make them  get you approvial befor checking out the books, magazines or wwhatever it is they wanna read at the time. Movies are the samje there are different materials for each age group some age groups @MONTH1 be interested in other age groups material and thats ok doesn't maen it's wrong just means thetre maturing more and are interested or couriouse let them explore they will figurt for them serlfs if the material is righrt for them or not",2,2
4174,"I feel that censorship in libraries is not needed. There are ways around your child having to be subjected to certain things you don't want them to be subjected to. If you don't want your child to witness certain types of material that is on you, not the libraries. We have libraries for the sole purpose of variety what is the point in having a library if you can't find what you want because it has offended someone. There are ways around completely taking certain things off the shelf if they are that explicet then they can be put in a section just for adults. No I do not belive certain materials should be removed from the shelves if they are found offensive.     One reason why it is not necessary to take certain things off the shelf is if you don't want your child to read or see certain things okay that's fine then watch them and see what they try to pick up and read or watch. Your child doesn't have to anything if you don't want them to. It's like saying I don't like this telivision show I never want my child to see it well what are the odds that telivision show is going to stop playing just becase your not happy with the violents,drug use,language, ect. The odds are extremely unlikely. When you don't want you child to see that certain show what do you do you watch them and keep them from watrching it so why should there be any differance when it comes to the books they are subjected to in a library.     Another reason would be the sole purpose of a libray is to give variety  to the people a place where there is something for everyone. Just because you think something is horrible and no one should read, hear, or see doesn't mean that some one else won't like it, it could be someone else's favorite book,magazine,cd, or movie. One oppinion shouldn't count for so much. If you don't like a book,movie,magazine, cd or agree with the content fine your entitled to your own oppinion then don't check it out no one is making you. If they took something off the self everytime they got a complaint about it there would be nothing left. If they were about to try and accomidate everyone they @MONTH1 as well just give up and close all libraries down all around the world because there will be nothing left on the selves.     Also instead of taking them completly off the shelf if they are that explicet maybe make an eightteen and older section. It would solve a lot of problems. Yes I agree that there are a select few books,magazines,movies,ect. that younger people should not be subjected to, but as and adult you should be able to read,watch,and hear whatever you want. That right shouldn't be taken away just because there are children that come to libraries. Every library I have ever been to there are certain sections and if your child stays in the section where there type of books are then they should be fine. Aside from that though an eightteen and older section would solve a lot of conflict.     No I do not belive certain material should be taken off the selves if they are found offensive. There are way to many ways around having to take the books completely off the selves. I don't want to go to a library one day and there be literally nothing left because they took a book off the self every time someone had a problem with it. There is absolutly no reason why we can't figure spomething out to make everyone happy and I think that having the eightteen and older section would be a good start. For the whole i don't want my child to be sujected to those kinds of things then keep your child away for those kinds of things nobody is forcing them to read anything you don't want them to",4,4
3149,"You know when you find a @LOCATION1 book on the shelf and discover that the content in the book are not word that are oppropity for children to read. Or when you go to copy something and you notice a magazine on the table and find out that the cover of the magazine has an image not for the young mind see. Or a movie or music that you see and the content from them shocks you and makes you that they bleep those word. I see it more better to have offensive items such as: books, music, movies, magazines, and etc. removed from the shelves, because those words and pictures will poison the minds of children and children learn from the world around them stuff like will make the child think that's how your suppose to act and talk. Here two example of why they should be remove from the shelves music and magazines.     First, in deal with music children word immate act they see and the words the say. One good example is rap music: their song have cuss words in them and believe me when I tell you this that I have to constantly to kids at my school saying cuss words like the n- and f-word and many more and seeing some boy's underwear, because they think they are being thugs just because they have their pants sagging low. It drives me crazy and make me think why are their parents letting their children do this. In the next paragraph I will talk about magazines.     Second, with magazine some of the images they use on their covers and pages are something that are ment to be seen where children read. an example for this is when I went into my school library's copying room to copy an article from magazine I found a magazine on the table and it show three of the cast members from @LOCATION1 in their birthday suits. I thought what in the world is this doing at my school they should have something like that in a place where kids are in a learning environment. Why on earth did they send this to a school for crying out loud. What do they think it want bother any kids' parent about it that I sure would be furious about it if I found out that my child had a something that at there school.     In conclusion, this is why they should be removed from the shelves so the children don't see them.",3,3
3855,"I feel that it should be censorship in libraries.Children shouldnt be able to go to the library and see certain books if they aren't supposed to.This could save people from getting in trouble and reading thye wrong stuff.     There should be censorship in libraries.I feel that it should be censorship because they already have stores that contain certain things that kids aren't able to buy.One other reason that i feel that it should be censorship is because children will probably read something and take it the wromg way.When you are a kid and you know that there is something that you know for sure you shouldnt be reading or watching,you try your best to sneak and read or watch whatever it @MONTH1 be.Thats why if we had censorship,they wouldnt have a chane to do so.Another reason i say we should have censorship is because libraries are public, and if you have to be a certain age to look at or view something then you should nt have it in the library.     As you can see,these are the reasons that i feel we should have censorship in libraries.With censorship nobody will feel left out and everyone will be treated equally and feel the same.They already have book stores and online site, where u can buy books and movies,and they have no censorship u just have to be a certain age and have a credit card.That way, they are for sure it is okay for you to rent things from them because you have to be a certain age to have a credit card.So with that being said,I feel there should be censorship in libraries.",3,3
3582,Why censore something that someone worked hard on? People put up money and countless amounts of time to write this and yet you want to censore it.See there is honestly no need to censore any thing in the library because there certain sections for certain people therefore this whole conversation shouldnt be going on in the first place.People just like to knit pick about what they can not handle for instense like the word nigger i dont like it at all but i can handle it and therfore i just shut my mouth and suck it up.So I just feel like all the critique and all the imature people just need not to read or dont go to the library but thats only me though.So stop acting like little children the authors want their stuff on shelves and not being banned and raved and ranted about alsoIn conclusion stop being imature and if you dont like it dont read it. Always think to yourself about what your doing before you decside,3,3
